# Libellés des sous-classes NAF rév. 2 (INSEE, https://www.insee.fr/fr/information/2406147).
# Copie de frontend/src/constants/nafCodes.ts, lue par le rapport PDF (NafLabels.cs).
# NafLabelsConsistencyTests vérifie que les deux listes restent identiques.
# code<TAB>libellé
0111Z	Culture de céréales, légumineuses et graines oléagineuses
0112Z	Culture du riz
0113Z	Culture de légumes, melons, racines et tubercules
0121Z	Culture de la vigne
0130Z	Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
0141Z	Élevage de vaches laitières
0142Z	Élevage d'autres bovins et de buffles
0150Z	Culture et élevage associés
0161Z	Activités de soutien aux cultures
0162Z	Activités de soutien à la production animale
0210Z	Sylviculture et autres activités forestières
0311Z	Pêche en mer
0321Z	Aquaculture en mer
0610Z	Extraction de pétrole brut
0710Z	Extraction de minerais de fer
0891Z	Extraction des minéraux chimiques et engrais minéraux
1011Z	Transformation et conservation de la viande de boucherie
1013A	Préparation industrielle de produits à base de viande
1041A	Fabrication d'huiles et graisses brutes
1051A	Fabrication de lait liquide et de produits frais
1061A	Meunerie
1071A	Fabrication industrielle de pain et de pâtisserie fraîche
1071B	Cuisson de produits de boulangerie-pâtisserie
1071C	Boulangerie et boulangerie-pâtisserie
1071D	Pâtisserie
1086Z	Fabrication d'aliments homogénéisés et diététiques
1101Z	Production de boissons alcooliques distillées
1102A	Fabrication de vins effervescents
1102B	Vinification
1107A	Industrie des eaux de table
1200Z	Fabrication de produits à base de tabac
1310Z	Préparation de fibres textiles et filature
1393Z	Fabrication de tapis et moquettes
1411Z	Fabrication de vêtements en cuir
1412Z	Fabrication de vêtements de travail
1413Z	Fabrication de vêtements de dessus
1419Z	Fabrication d'autres vêtements et accessoires
1420Z	Fabrication d'articles en fourrure
1511Z	Apprêt et tannage des cuirs
1520Z	Fabrication de chaussures
1610A	Sciage et rabotage du bois
1623Z	Fabrication de charpentes et d'autres menuiseries
1624Z	Fabrication d'emballages en bois
1629Z	Fabrication d'objets divers en bois; en liège, vannerie et sparterie
1711Z	Fabrication de pâte à papier
1712Z	Fabrication de papier et de carton
1721A	Fabrication de carton ondulé
1811Z	Imprimerie de journaux
1812Z	Autre imprimerie
1813Z	Activités de pré-presse
1814Z	Reliure et activités connexes
2011Z	Fabrication de gaz industriels
2016Z	Fabrication de matières plastiques de base
2059Z	Fabrication d'autres produits chimiques n.c.a.
2110Z	Fabrication de produits pharmaceutiques de base
2120Z	Fabrication de médicaments
2211Z	Fabrication et rechapage de pneumatiques
2219Z	Fabrication d'autres articles en caoutchouc
2221Z	Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
2229A	Fabrication de pièces techniques à base de matières plastiques
2311Z	Fabrication de verre plat
2351Z	Fabrication de ciment
