code,domain,text,help_text,weight,display_order,vsme_ref,iso_ref,gri_ref,ecovadis_ref,is_active
ENV-01,Environmental,Relevez-vous chaque année vos consommations d'énergie ?,"Le périmètre couvre l'électricité, le gaz ou le fioul de vos locaux et le carburant de vos véhicules. Un relevé annuel à partir des factures suffit, aucun outil dédié n'est nécessaire. 0 — les factures sont payées, aucun total n'est fait. 3 — un total existe mais ne couvre qu'une partie des postes, ou n'est pas refait chaque année. 5 — le relevé est annuel, complet, et comparé à l'année précédente.",2.00,1,B3,6.5.4,302,,true
ENV-02,Environmental,Avez-vous déjà estimé les émissions de gaz à effet de serre de votre activité ?,"La question porte sur l'existence d'un ordre de grandeur, quelle qu'en soit la méthode : bilan complet, calculateur en ligne d'une fédération professionnelle, ou estimation produite par un client. 0 — aucun chiffre n'a jamais été produit. 3 — une estimation existe mais elle est ancienne, partielle, ou vous n'en connaissez pas le détail. 5 — elle est datée, vous savez quels postes pèsent le plus, et elle est refaite périodiquement.",3.00,2,B3,6.5.5,305,,true
ENV-03,Environmental,Avez-vous formalisé par écrit un plan de réduction de vos émissions de gaz à effet de serre ?,"On regarde l'existence d'un document listant des actions, chacune avec un responsable et une échéance — pas l'ambition du plan. Renouveler un équipement ou réduire les trajets à vide sont des actions recevables. 0 — rien n'est écrit, y compris si des intentions existent. 3 — des actions sont écrites, mais sans responsable, sans échéance, ou jamais revues. 5 — le plan est écrit, daté et revu au moins une fois par an.",3.00,3,C3,6.5.5,305,,true
ENV-04,Environmental,Avez-vous engagé des actions pour réduire la quantité de déchets produite par votre activité ?,"Il s'agit d'agir avant que le déchet existe : ajuster les quantités commandées, réduire les emballages, limiter les invendus ou les chutes, réutiliser en interne ou céder ce dont vous n'avez plus l'usage. 0 — aucune action de ce type. 3 — une action existe sur un seul poste, sans suite organisée. 5 — la démarche porte sur plusieurs postes et vous constatez une baisse des volumes.",2.00,4,B7,6.5.4,306,,true
ENV-05,Environmental,Avez-vous identifié les effets que le dérèglement climatique peut avoir sur votre activité ?,"Le sujet n'est pas ce que vous émettez, mais ce que le climat vous fait subir : fortes chaleurs et conditions de travail, sécheresse ou intempéries perturbant vos approvisionnements, inondation d'un site, hausse du prix de l'énergie. 0 — la question n'a jamais été posée. 3 — un ou deux effets ont été identifiés, sans mesure associée. 5 — les effets principaux sont identifiés et des mesures concrètes ont été prises.",2.00,5,C4,6.5.5,,,true
ENV-06,Environmental,Assurez-vous un suivi écrit de l'évacuation de vos déchets ?,"Au-delà du tri, la question porte sur la traçabilité : savoir quelles quantités sortent et vers quelles filières elles partent. Bons d'enlèvement d'un prestataire, tickets de déchèterie professionnelle ou attestations de reprise constituent déjà un suivi. 0 — rien n'est conservé. 3 — les justificatifs existent mais sont dispersés et jamais totalisés. 5 — ils sont centralisés et les volumes totalisés au moins une fois par an.",3.00,6,B7,6.5.3,306,,true
ENV-07,Environmental,Avez-vous prévu des dispositions pour éviter qu'un produit polluant ne se répande accidentellement ?,"On vise les produits stockés ou manipulés dans vos locaux et sur vos sites : carburants, huiles, produits de nettoyage ou de traitement. Bac de rétention, armoire fermée, absorbant à disposition et consignes de manipulation sont les dispositifs les plus courants. 0 — rien n'est prévu à l'avance. 3 — des dispositifs existent partiellement, ou ne sont pas connus des équipes. 5 — ils sont en place, connus et vérifiés régulièrement.",2.00,7,B4,6.5.3,,,true
ENV-08,Environmental,Suivez-vous votre consommation d'eau ?,"Cela couvre l'eau utilisée dans vos locaux comme celle liée à votre production ou à vos prestations. Un relevé annuel à partir des factures ou des compteurs suffit. 0 — la consommation n'est jamais regardée. 3 — elle l'est en cas de facture anormale, sans suivi régulier. 5 — elle est relevée chaque année et un écart inhabituel déclenche une vérification.",1.00,8,B6,6.5.4,303,,true
ENV-09,Environmental,Tenez-vous compte des espaces naturels situés à proximité de vos sites d'activité ?,"Il s'agit de savoir si la présence d'un cours d'eau, d'arbres, d'un espace protégé ou d'un sol perméable a déjà influencé une décision : aménagement d'un site, choix d'un produit d'entretien, éclairage nocturne, gestion des eaux de pluie. 0 — le sujet n'a jamais été examiné. 3 — il l'a été à l'occasion d'une obligation ponctuelle. 5 — le repérage est fait pour chaque site concerné et se traduit par des mesures.",1.00,9,B5,6.5.6,304,,true
ENV-10,Environmental,Vos équipes reçoivent-elles une information sur les consignes environnementales à appliquer ?,"La question porte sur la transmission effective des consignes — tri, stockage des produits, économies d'énergie — à toutes les personnes qui travaillent chez vous, y compris les nouveaux arrivants et les intérimaires. 0 — aucune consigne n'est formulée, ou aucune n'est transmise à qui que ce soit. 3 — elles sont transmises à l'embauche puis jamais rappelées. 5 — l'information est donnée à l'arrivée et rappelée en cours d'année.",1.00,10,B2,,,,true
ENV-11,Environmental,Avez-vous engagé des actions pour réduire les déplacements liés à votre activité ?,"On vise l'organisation des tournées et des livraisons, le regroupement des trajets et le recours à la visioconférence. C'est souvent un poste d'émissions important, et aussi un poste de coût. 0 — les trajets sont organisés au jour le jour, sans objectif de réduction. 3 — des mesures existent mais restent ponctuelles, ou visent d'abord le coût. 5 — elles sont organisées et leurs effets se constatent sur les consommations de carburant.",2.00,11,B3,6.5.5,305,,true
SOC-01,Social,Disposez-vous d'un document à jour recensant les risques pour la santé et la sécurité de vos salariés ?,"Ce document recense les risques poste par poste et les mesures prises pour les réduire. Il est obligatoire dès le premier salarié, quelle que soit l'activité : chutes, manutention, produits, circulation, travail sur écran. 0 — aucun document n'existe. 3 — un document existe mais date de plusieurs années, ou ne couvre pas tous les postes. 5 — il est complet, revu au moins une fois par an, et les mesures qu'il prévoit sont effectivement suivies.",3.00,1,B9,6.4.6,403,,true
SOC-02,Social,Chaque nouvel arrivant reçoit-il une formation à la sécurité avant de prendre son poste ?,"On vise la transmission des consignes propres au poste, avant la première prise de poste, y compris pour les intérimaires et les saisonniers. Un accompagnement par un salarié expérimenté compte autant qu'une session formelle. 0 — rien n'est prévu, l'apprentissage se fait en travaillant. 3 — une consigne orale est donnée à l'arrivée, sans contenu défini ni trace. 5 — le contenu est défini, adapté au poste, et sa transmission est tracée.",2.00,2,B9,6.4.6,403,,true
SOC-03,Social,"Organisez-vous, au moins une fois par an, un échange individuel avec chaque salarié sur son travail ?","Il s'agit d'un temps dédié, distinct des consignes quotidiennes : comment se passe le travail, quelles difficultés, quelles envies d'évolution. Une conversation d'une demi-heure, notée en deux lignes, remplit la fonction. 0 — aucun échange de ce type n'est organisé. 3 — il a lieu pour certains salariés seulement, ou de façon irrégulière. 5 — chacun en bénéficie chaque année et ce qui s'y dit donne lieu à des suites concrètes.",2.00,3,B10,6.4.7,404,,true
SOC-04,Social,Proposez-vous des formations au-delà de celles rendues obligatoires par la réglementation ?,"On parle de la montée en compétence sur un métier, de l'informatique, des langues, de l'encadrement — pas des habilitations et recyclages imposés. La question porte sur l'accès réel à la formation, pas sur le budget qui y est consacré. 0 — seules les formations obligatoires sont réalisées. 3 — des formations ont lieu ponctuellement, au gré des opportunités ou des demandes. 5 — les besoins sont recensés et un plan est établi, même modeste.",3.00,4,B10,6.4.7,404,,true
SOC-05,Social,Vos décisions de recrutement et de promotion reposent-elles sur des critères définis à l'avance ?,"On vise ce sur quoi vous vous appuyez pour décider : compétences attendues, ancienneté, résultats, grille de postes. L'enjeu est que la décision puisse s'expliquer à celui qui ne l'obtient pas. 0 — les décisions se prennent au cas par cas, sans critère préalable. 3 — des critères existent dans la tête du dirigeant, sans être écrits ni connus. 5 — ils sont écrits, connus des salariés, et appliqués de la même façon à tous.",3.00,5,,6.3.7,406,,true
SOC-06,Social,Existe-t-il un moment prévu où vos équipes peuvent s'exprimer sur l'organisation du travail ?,"Réunion d'équipe régulière, point de fin de chantier, tour de table mensuel : la forme importe peu, pourvu que le moment existe et que la parole y porte sur l'organisation, pas seulement sur les tâches à faire. 0 — aucun moment de ce type n'existe. 3 — des réunions ont lieu, mais l'ordre du jour est entièrement descendant. 5 — un temps d'expression est prévu et ce qui remonte donne lieu à des ajustements.",2.00,6,,6.4.5,402,,true
SOC-07,Social,Vos salariés savent-ils vers qui se tourner en cas de harcèlement ou de comportement déplacé ?,"La question porte sur l'existence d'un interlocuteur identifié et connu. Dans une petite structure, ce peut être le dirigeant, à condition qu'une autre voie existe si c'est lui qui est en cause. 0 — rien n'est prévu ni annoncé. 3 — le sujet a été évoqué une fois, sans interlocuteur clairement désigné. 5 — l'interlocuteur est connu, une voie alternative existe, et la manière dont un signalement est traité est définie.",2.00,7,,6.3.7,406,,true
SOC-08,Social,Adaptez-vous les postes de travail lorsqu'un salarié rencontre une difficulté durable ?,"On vise l'aménagement matériel ou horaire : équipement, hauteur de plan de travail, répartition des tâches, aménagement des horaires. La question porte sur votre pratique, jamais sur des situations individuelles. 0 — aucune adaptation n'a jamais été envisagée. 3 — des aménagements ont eu lieu, décidés au coup par coup. 5 — la demande trouve un interlocuteur et les solutions sont recherchées avec le service de santé au travail.",2.00,8,B9,6.4.6,403,,true
SOC-09,Social,Tenez-vous compte des contraintes personnelles de vos salariés dans l'organisation des horaires ?,"Garde d'enfants, temps de trajet, proche à accompagner, reprise d'études : il s'agit de savoir si ces contraintes sont exprimées et prises en compte quand l'activité le permet. 0 — les horaires sont fixés sans que la question soit posée. 3 — des arrangements existent, accordés au cas par cas selon la personne. 5 — la possibilité est connue de tous et les demandes sont examinées selon les mêmes règles.",1.00,9,,6.4.4,401,,true
SOC-10,Social,Le recours aux contrats courts et à l'intérim fait-il l'objet d'un examen régulier ?,"Il s'agit de regarder périodiquement si ce recours correspond à un besoin réellement ponctuel — saison, remplacement, surcroît — ou s'il est devenu la manière habituelle de faire tourner l'activité. 0 — le sujet n'est jamais examiné. 3 — il est évoqué quand une difficulté de recrutement se présente. 5 — le recours est examiné régulièrement et donne lieu à des décisions d'embauche ou d'organisation.",1.00,10,B8,6.4.3,401,,true
SOC-11,Social,Les règles qui déterminent la rémunération sont-elles connues de vos salariés ?,"Il s'agit de savoir si un salarié peut comprendre comment sa rémunération est construite : salaire de base, primes, augmentations, et ce sur quoi elles reposent. 0 — rien n'est expliqué, chacun connaît son salaire et rien d'autre. 3 — les règles existent mais ne sont expliquées qu'à ceux qui les demandent. 5 — elles sont écrites, communiquées, et appliquées de la même manière à tous.",1.00,11,B10,6.4.4,405,,true
GOV-01,Governance,Le suivi des sujets environnementaux et sociaux est-il confié à une personne identifiée ?,"Il ne s'agit pas de créer un poste. La question porte sur le fait qu'un salarié, ou le dirigeant lui-même, ait cette mission explicitement reconnue et du temps pour l'exercer. 0 — personne n'est désigné. 3 — quelqu'un s'en occupe de fait, sans que ce soit formalisé ni qu'un temps y soit consacré. 5 — la mission est écrite, connue en interne, et un temps identifié lui est alloué.",3.00,1,B2,6.2,2,,true
GOV-02,Governance,Avez-vous identifié les deux ou trois enjeux RSE les plus importants pour votre activité ?,"Toutes les entreprises ne portent pas les mêmes enjeux : un transporteur n'a pas les mêmes priorités qu'un cabinet de conseil. La question porte sur le fait d'avoir hiérarchisé, pas d'avoir tout traité. 0 — aucune hiérarchisation n'a été faite. 3 — des priorités sont évoquées, mais elles varient selon l'interlocuteur. 5 — deux ou trois enjeux sont identifiés par écrit et orientent réellement vos actions.",3.00,2,B2,6.2,3,,true
GOV-03,Governance,Demandez-vous à vos salariés ce qu'ils pensent de la démarche environnementale et sociale de l'entreprise ?,"Il s'agit d'avoir demandé au moins une fois à vos équipes ce qu'elles attendent ou ce qu'elles proposent en matière d'environnement, de conditions de travail ou de pratiques d'affaires. Un point en réunion, une boîte à idées ou une question ajoutée à l'entretien annuel comptent. 0 — la question ne leur a jamais été posée. 3 — elle l'a été de façon informelle, sans que rien n'en soit retenu. 5 — le recueil est organisé et ce qui en ressort alimente vos décisions.",2.00,3,B2,6.2,2,,true
GOV-04,Governance,Faites-vous un point régulier sur l'avancement de votre démarche ?,"Un point annuel en réunion de direction ou un tableau de suivi mis à jour suffisent. La question porte sur la régularité, pas sur la sophistication de l'outil. 0 — aucun point n'est fait. 3 — le sujet est abordé quand l'occasion se présente, sans échéance fixée. 5 — un point est prévu à échéance régulière et donne lieu à des décisions tracées.",2.00,4,B2,6.2,3,,true
