sector_code,domain,weight
,Environmental,0.200
,Social,0.200
,Ethics,0.200
,Procurement,0.200
,Governance,0.200
A,Environmental,0.350
A,Social,0.250
A,Ethics,0.150
A,Procurement,0.200
A,Governance,0.050
B,Environmental,0.350
B,Social,0.250
B,Ethics,0.150
B,Procurement,0.150
B,Governance,0.100
C,Environmental,0.300
C,Social,0.200
C,Ethics,0.150
C,Procurement,0.250
C,Governance,0.100
D,Environmental,0.400
D,Social,0.150
D,Ethics,0.150
D,Procurement,0.100
D,Governance,0.200
E,Environmental,0.400
E,Social,0.200
E,Ethics,0.150
E,Procurement,0.150
E,Governance,0.100
F,Environmental,0.250
F,Social,0.350
F,Ethics,0.100
F,Procurement,0.250
F,Governance,0.050
G,Environmental,0.150
G,Social,0.200
G,Ethics,0.200
G,Procurement,0.350
G,Governance,0.100
H,Environmental,0.400
H,Social,0.250
H,Ethics,0.150
H,Procurement,0.100
H,Governance,0.100
I,Environmental,0.200
I,Social,0.350
I,Ethics,0.150
I,Procurement,0.200
I,Governance,0.100
J,Environmental,0.100
J,Social,0.250
J,Ethics,0.300
J,Procurement,0.100
J,Governance,0.250
K,Environmental,0.150
K,Social,0.150
K,Ethics,0.300
K,Procurement,0.100
K,Governance,0.300
L,Environmental,0.300
L,Social,0.200
L,Ethics,0.150
L,Procurement,0.200
L,Governance,0.150
M,Environmental,0.100
M,Social,0.200
M,Ethics,0.300
M,Procurement,0.150
M,Governance,0.250
N,Environmental,0.150
N,Social,0.350
N,Ethics,0.200
N,Procurement,0.200
N,Governance,0.100
O,Environmental,0.150
O,Social,0.250
O,Ethics,0.250
O,Procurement,0.100
O,Governance,0.250
P,Environmental,0.100
P,Social,0.400
P,Ethics,0.250
P,Procurement,0.100
P,Governance,0.150
Q,Environmental,0.100
Q,Social,0.400
Q,Ethics,0.250
Q,Procurement,0.150
Q,Governance,0.100
R,Environmental,0.150
R,Social,0.300
R,Ethics,0.200
R,Procurement,0.150
R,Governance,0.200
S,Environmental,0.100
S,Social,0.350
S,Ethics,0.250
S,Procurement,0.150
S,Governance,0.150
4941A,Environmental,0.400
4941A,Social,0.200
4941A,Ethics,0.150
4941A,Procurement,0.150
4941A,Governance,0.100
7022Z,Environmental,0.100
7022Z,Social,0.300
7022Z,Ethics,0.250
7022Z,Procurement,0.150
7022Z,Governance,0.200
4120A,Environmental,0.300
4120A,Social,0.300
4120A,Ethics,0.100
4120A,Procurement,0.200
4120A,Governance,0.100
4321A,Environmental,0.250
4321A,Social,0.300
4321A,Ethics,0.100
4321A,Procurement,0.250
4321A,Governance,0.100
1071C,Environmental,0.300
1071C,Social,0.250
1071C,Ethics,0.150
1071C,Procurement,0.200
1071C,Governance,0.100
5610A,Environmental,0.275
5610A,Social,0.300
5610A,Ethics,0.150
5610A,Procurement,0.175
5610A,Governance,0.100
6201Z,Environmental,0.100
6201Z,Social,0.300
6201Z,Ethics,0.300
6201Z,Procurement,0.100
6201Z,Governance,0.200
2562B,Environmental,0.350
2562B,Social,0.250
2562B,Ethics,0.100
2562B,Procurement,0.200
2562B,Governance,0.100
8121Z,Environmental,0.150
8121Z,Social,0.400
8121Z,Ethics,0.150
8121Z,Procurement,0.150
8121Z,Governance,0.150
4649Z,Environmental,0.175
4649Z,Social,0.175
4649Z,Ethics,0.175
4649Z,Procurement,0.375
4649Z,Governance,0.100
