code,domain,action_text,detail_text,impact_points,effort_level,trigger_question_code,trigger_max_value,is_active
REC-ENV-01,Environmental,Totaliser vos consommations d'énergie une fois par an,"Rassemblez en une seule fois, à la clôture, les factures d'électricité, de gaz ou de fioul et les relevés de carburant, et reportez les totaux dans un tableau d'une ligne par année. Comptez une demi-journée la première fois, une heure les suivantes. L'année suivante, la comparaison se fait seule et fait apparaître les dérives que les factures mensuelles masquent.",3.64,Low,ENV-01,3,true
REC-ENV-02,Environmental,Estimer vos émissions avec un calculateur de votre fédération,"Commencez par un calculateur en ligne gratuit plutôt que par un bilan complet. Les données d'entrée sont vos factures d'électricité, de gaz ou de fioul et vos relevés de carburant : rassemblez-les d'abord, le calcul suit. Le résultat suffit à identifier vos deux ou trois postes dominants. Datez l'estimation et conservez les données saisies, pour pouvoir la refaire à l'identique dans deux ans et comparer.",5.45,Medium,ENV-02,3,true
REC-ENV-03,Environmental,Écrire un plan de réduction en une page,"Listez trois à cinq actions déjà envisagées et donnez à chacune un responsable et une échéance — c'est ce qui distingue un plan d'une intention. Si vous disposez d'une estimation de vos émissions, partez des postes qu'elle désigne ; sinon, prenez l'énergie des locaux et les déplacements, qui dominent presque toujours. Une page suffit. Fixez dès maintenant la date de la revue annuelle.",5.45,Medium,ENV-03,3,true
REC-ENV-04,Environmental,Traiter un poste de déchets à la source,"Choisissez le poste le plus visible — emballages reçus, chutes de production, invendus, impressions — et cherchez à en réduire le volume avec vos fournisseurs ou en changeant une habitude d'achat. Une action menée jusqu'au bout vaut mieux que cinq lancées. Mesurez l'effet sur les volumes évacués : c'est le chiffre qui rendra l'action démontrable devant un client.",3.64,High,ENV-04,3,true
REC-ENV-05,Environmental,Recenser les effets du climat sur votre activité en une réunion,"Réunissez deux ou trois personnes qui connaissent le terrain et listez ce qui a déjà perturbé l'activité : fortes chaleurs, intempéries, rupture d'approvisionnement, hausse du prix de l'énergie. Retenez les deux effets les plus probables et décidez d'une mesure pour chacun, même modeste. Deux heures suffisent, et le compte rendu constitue la trace attendue par un donneur d'ordres.",3.64,Low,ENV-05,3,true
REC-ENV-06,Environmental,Centraliser les justificatifs d'évacuation de vos déchets,"Rassemblez au même endroit — classeur ou dossier partagé — les bons d'enlèvement, tickets de déchèterie professionnelle et attestations de reprise, puis totalisez les quantités une fois par an. Le travail est administratif et sans difficulté, mais il est la condition pour répondre à un questionnaire client sur les déchets. Désignez la personne qui classe, sinon les justificatifs continueront de circuler.",5.45,Low,ENV-06,3,true
REC-ENV-07,Environmental,Sécuriser le stockage de vos produits polluants,"Faites le tour de vos locaux et de vos sites, listez les produits susceptibles de se répandre, et équipez les points de stockage d'un bac de rétention ou d'une armoire fermée. Placez un absorbant là où les produits sont manipulés. Le coût est faible au regard d'une pollution de sol ou de réseau, dont la dépollution reste à votre charge.",3.64,Medium,ENV-07,3,true
REC-ENV-08,Environmental,Relever votre consommation d'eau à chaque clôture,"Relevez une fois par an le volume figurant sur votre facture d'eau et notez-le à côté de celui de l'année précédente, dans un tableau ou sur une feuille. L'opération prend quelques minutes et son intérêt est de détecter une fuite : une consommation qui double sans changement d'activité signale presque toujours un problème de réseau, et se paie longtemps avant d'être remarquée.",1.82,Low,ENV-08,3,true
REC-ENV-09,Environmental,Repérer ce qui entoure vos sites avant d'aménager,"Avant tout aménagement ou changement d'usage, regardez ce qui se trouve autour : cours d'eau, arbres, sol perméable, espace protégé. Une consultation des cartes publiques et un tour du site suffisent. Tirez-en une ou deux consignes concrètes — où stocker, où faire circuler, quel produit d'entretien éviter — et notez-les, plutôt que de refaire l'examen à chaque fois.",1.82,Medium,ENV-09,3,true
REC-ENV-10,Environmental,Intégrer les consignes environnementales à l'accueil des arrivants,"Écrivez sur une page les consignes qui concernent réellement les postes de travail — tri, stockage des produits, extinction des équipements — et remettez-la à chaque nouvel arrivant, intérimaires compris. Rappelez-les une fois dans l'année, à l'occasion d'une réunion existante. Des consignes que personne ne transmet ne produisent aucun effet, et ce sont les nouveaux qui en ont le plus besoin.",1.82,Low,ENV-10,3,true
REC-ENV-11,Environmental,Regrouper les trajets sur un poste identifié,"Prenez le trajet le plus fréquent ou le plus long et cherchez à en réduire le nombre : regroupement des livraisons, réorganisation des tournées, visioconférence pour les rendez-vous qui s'y prêtent. L'effet se lit directement sur la consommation de carburant, donc sur un coût. C'est la seule action environnementale du domaine dont le retour financier est immédiat et mesurable.",3.64,High,ENV-11,3,true
REC-SOC-01,Social,Reprendre votre document d'évaluation des risques poste par poste,"Repartez du document existant s'il y en a un, et parcourez-le poste par poste avec la personne qui y travaille : c'est elle qui connaît les gestes réels. Ajoutez les risques oubliés, retirez ceux qui ont disparu, et notez en face de chacun la mesure prise. Comptez une journée pour une équipe restreinte. Inscrivez la revue à date fixe, sinon le document vieillira sans que personne ne le constate.",5.45,Medium,SOC-01,3,true
REC-SOC-02,Social,Écrire une fiche d'accueil sécurité par famille de postes,"Rédigez une page par famille de postes : les risques du poste, les équipements à porter, les gestes interdits, qui prévenir en cas de problème. Remettez-la à chaque arrivant avant la prise de poste, intérimaires et saisonniers compris, et faites-la signer. Le document se rédige en une demi-journée et sert ensuite des années ; c'est aussi ce qu'un donneur d'ordres demande à voir en premier.",3.64,Low,SOC-02,3,true
